index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,New,PendingS
0,405-8078784-5731545,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,S,On the Way,0,INR,647.62,MUMBAI,MAHARASHTRA,400081,IN,FALSE,Easy Ship,,
1,171-9198151-1101146,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,406,BENGALURU,KARNATAKA,560085,IN,FALSE,Easy Ship,,
2,404-0687676-7273146,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,329,NAVI MUMBAI,MAHARASHTRA,410210,IN,TRUE,,,
3,403-9615377-8133951,04-30-22,Cancelled,Merchant,Amazon.in,Standard,Blazzer,L,On the Way,0,INR,753.33,PUDUCHERRY,PUDUCHERRY,605008,IN,FALSE,Easy Ship,,
4,407-1069790-7240320,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,3XL,Shipped,1,INR,574,CHENNAI,TAMIL NADU,600073,IN,FALSE,,,
5,404-1490984-4578765,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,824,GHAZIABAD,UTTAR PRADESH,201102,IN,FALSE,,,
6,408-5748499-6859555,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,653,CHANDIGARH,CHANDIGARH,160036,IN,FALSE,,,
7,406-7807733-3785945,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,399,HYDERABAD,TELANGANA,500032,IN,FALSE,Easy Ship,,
8,407-5443024-5233168,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,,HYDERABAD,TELANGANA,500008,IN,FALSE,,,
9,402-4393761-0311520,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,363,Chennai,TAMIL NADU,600041,IN,FALSE,,,
10,407-5633625-6970741,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,685,CHENNAI,TAMIL NADU,600073,IN,FALSE,,,
11,171-4638481-6326716,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XS,Shipped,1,INR,364,NOIDA,UTTAR PRADESH,201303,IN,FALSE,,,
12,405-5513694-8146768,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XS,Shipped,1,INR,399,Amravati.,MAHARASHTRA,444606,IN,FALSE,Easy Ship,,
13,408-7955685-3083534,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,657,MUMBAI,MAHARASHTRA,400053,IN,FALSE,,,
14,408-1298370-1920302,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,771,MUMBAI,MAHARASHTRA,400053,IN,FALSE,Easy Ship,,
15,403-4965581-9520319,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,6XL,Shipped,1,INR,544,GUNTAKAL,ANDHRA PRADESH,515801,IN,FALSE,Easy Ship,,
16,406-9379318-6555504,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,329,JAIPUR,RAJASTHAN,302020,IN,FALSE,,,
17,405-9013803-8009918,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,399,NEW DELHI,DELHI,110074,IN,FALSE,,,
18,402-4030358-5835511,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XXL,Shipped,1,INR,458,Gurgaon,HARYANA,122004,IN,FALSE,Easy Ship,,
19,405-5957858-1051546,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,886,BENGALURU,KARNATAKA,560017,IN,FALSE,,,
20,405-0607769-0716360,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,517,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,FALSE,,,
21,404-8494550-5860325,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,666,BENGALURU,KARNATAKA,560040,IN,FALSE,,,
22,171-1305077-2813934,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,376,HYDERABAD,TELANGANA,500072,IN,FALSE,,,
23,404-6019946-2909948,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,570.48,pune,MAHARASHTRA,411044,IN,FALSE,Easy Ship,,
24,402-3384087-4005164,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,499,TEZPUR,ASSAM,784001,IN,FALSE,,,
25,405-8191138-5176316,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XS,Shipped,1,INR,582,RANCHI,JHARKHAND,834002,IN,FALSE,Easy Ship,,
26,403-9230474-9657916,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,299,BILASPUR,CHHATTISGARH,495001,IN,FALSE,Easy Ship,,
27,408-3484251-6901959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,4XL,Shipped,1,INR,459,PUNE,MAHARASHTRA,411052,IN,FALSE,,,
28,405-7755803-4729935,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,399,BENGALURU,KARNATAKA,560037,IN,FALSE,,,
29,404-5933402-8801952,04-30-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,,,GUWAHATI,ASSAM,781003,IN,FALSE,Easy Ship,,
30,171-9040274-9291563,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,791,THIRUVARUR,TAMIL NADU,613704,IN,FALSE,,,
31,403-7056319-0979561,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226010,IN,FALSE,,,
32,404-9632124-1107550,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1233,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,FALSE,Easy Ship,,
33,402-1465437-0579556,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,517,JEYPUR,ODISHA,764001,IN,FALSE,Easy Ship,,
34,404-7774085-3780319,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,376,HYDERABAD,TELANGANA,500028,IN,FALSE,,,
35,402-2764952-1492318,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226016,IN,FALSE,Easy Ship,,
36,406-0272200-7784379,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,666,CHENNAI,TAMIL NADU,600033,IN,FALSE,,,
37,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,487,NEW DELHI,DELHI,110092,IN,FALSE,,,
38,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,368,NEW DELHI,DELHI,110092,IN,FALSE,,,
39,403-4242957-8599555,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,THIRUVANANTHAPURAM,KERALA,695011,IN,FALSE,,,
40,408-7165704-5643524,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Perfume,Free,Shipped,1,INR,699,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,,,
41,402-8210765-3935569,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,885,JABALPUR,MADHYA PRADESH,482002,IN,FALSE,,,
42,406-7398201-3869914,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,424,MUMBAI,MAHARASHTRA,400092,IN,FALSE,Easy Ship,,
43,408-3478480-0881162,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1126,LUCKNOW,UTTAR PRADESH,226017,IN,FALSE,,,
44,402-7595162-9129931,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,MUMBAI,MAHARASHTRA,400076,IN,FALSE,,,
45,171-6876154-6233146,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,759,KOLKATA,WEST BENGAL,700014,IN,FALSE,,,
46,408-3917043-5314763,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1146,ONGOLE,ANDHRA PRADESH,523001,IN,FALSE,,,
47,408-9281152-6213100,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,665,SECUNDERABAD,TELANGANA,500017,IN,FALSE,,,
48,403-3496411-3082707,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,429,HYDERABAD,TELANGANA,500062,IN,FALSE,,,
49,171-9208368-0157156,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,KEWALPUR,UTTAR PRADESH,271881,IN,FALSE,Easy Ship,,
50,408-2137113-0982751,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,848,CUTTACK,ODISHA,753012,IN,FALSE,,,
51,402-3628566-9688333,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,654,BADLAPUR,MAHARASHTRA,421503,IN,FALSE,,,
52,408-7138000-9728362,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1033,dimapur,NAGALAND,797112,IN,FALSE,,,
53,402-1752649-2274748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,390,BENGALURU,KARNATAKA,560047,IN,FALSE,,,
54,402-7944191-1869101,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,493,BENGALURU,KARNATAKA,560076,IN,FALSE,,,
55,407-4063876-9566742,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,721,WARANGAL,TELANGANA,506001,IN,FALSE,,,
56,403-0752752-4656334,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,DHAULPUR,RAJASTHAN,328024,IN,FALSE,,,
57,406-8879861-2081117,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,GUWAHATI,ASSAM,781029,IN,FALSE,,,
58,406-8089333-7941903,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,Bengaluru,KARNATAKA,560103,IN,FALSE,,,
59,171-3072652-6805159,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,353,HYDERABAD,TELANGANA,500072,IN,FALSE,,,
